Syllable
가
갸
거
겨
고
교
구
규
그
기
개
걔
게
계
과
괘
괴
궈
궤
귀
긔
나
냐
너
녀
노
뇨
누
뉴
느
니
내
냬
네
녜
놔
놰
뇌
눠
눼
뉘
늬
다
댜
더
뎌
도
됴
두
듀
드
디
대
댸
데
뎨
돠
돼
되
둬
뒈
뒤
듸
라
랴
러
려
로
료
루
류
르
리
래
럐
레
례
롸
뢔
뢰
뤄
뤠
뤼
릐
마
먀
머
며
모
묘
무
뮤
므
미
매
먜
메
몌
뫄
뫠
뫼
뭐
뭬
뮈
믜
바
뱌
버
벼
보
뵤
부
뷰
브
비
배
뱨
베
볘
봐
봬
뵈
붜
붸
뷔
븨
사
샤
서
셔
소
쇼
수
슈
스
시
새
섀
세
셰
솨
쇄
쇠
숴
쉐
쉬
싀
아
야
어
여
오
요
우
유
으
이
애
얘
에
예
와
왜
외
워
웨
위
의
자
쟈
저
져
조
죠
주
쥬
즈
지
재
쟤
제
졔
좌
좨
죄
줘
줴
쥐
즤
차
챠
처
쳐
초
쵸
추
츄
츠
치
채
챼
체
쳬
촤
쵀
최
춰
췌
취
츼
카
캬
커
켜
코
쿄
쿠
큐
크
키
캐
컈
케
켸
콰
쾌
쾨
쿼
퀘
퀴
킈
타
탸
터
텨
토
툐
투
튜
트
티
태
턔
테
톄
톼
퇘
퇴
퉈
퉤
튀
틔
파
퍄
퍼
펴
포
표
푸
퓨
프
피
패
퍠
페
폐
퐈
퐤
푀
풔
풰
퓌
픠
하
햐
허
혀
호
효
후
휴
흐
히
해
햬
헤
혜
화
홰
회
훠
훼
휘
희
