Syllable
ㄱ
ㄴ
ㄷ
ㄹ
ㅁ
ㅂ
ㅅ
ㅇ
ㅏ
ㅑ
ㅓ
ㅕ
ㅗ
ㅛ
ㅜ
ㅠ
ㅡ
ㅣ
