Syllable,Romanized
 , 
ㄱ,ㄱ
ㄲ,ㄲ
ㄳ,ㄳ
ㄴ,ㄴ
ㄵ,ㄵ
ㄶ,ㄶ
ㄷ,ㄷ
ㄹ,ㄹ
ㄺ,ㄺ
ㄻ,ㄻ
ㄼ,ㄼ
ㄽ,ㄽ
ㄾ,ㄾ
ㄿ,ㄿ
ㅀ,ㅀ
ㅁ,ㅁ
ㅂ,ㅂ
ㅄ,ㅄ
ㅅ,ㅅ
ㅆ,ㅆ
ㅇ,ㅇ
ㅈ,ㅈ
ㅊ,ㅊ
ㅋ,ㅋ
ㅌ,ㅌ
ㅍ,ㅍ
ㅎ,ㅎ
ㅏ,ㅏ
ㅑ,ㅑ
ㅓ,ㅓ
ㅕ,ㅕ
ㅗ,ㅗ
ㅛ,ㅛ
ㅜ,ㅜ
ㅠ,ㅠ
ㅡ,ㅡ
ㅣ,ㅣ
ㅐ,ㅐ
ㅒ,ㅒ
ㅔ,ㅔ
ㅖ,ㅖ
ㅘ,ㅘ
ㅙ,ㅙ
ㅚ,ㅚ
ㅝ,ㅝ
ㅞ,ㅞ
ㅟ,ㅟ
ㅢ,ㅢ
