Syllable,Romanized
ㄱ,ㄱ
ㄴ,ㄴ
ㄷ,ㄷ
ㄹ,ㄹ
ㅁ,ㅁ
ㅂ,ㅂ
ㅅ,ㅅ
ㅇ,ㅇ
ㅏ,ㅏ
ㅑ,ㅑ
ㅓ,ㅓ
ㅕ,ㅕ
ㅗ,ㅗ
ㅛ,ㅛ
ㅜ,ㅜ
ㅠ,ㅠ
ㅡ,ㅡ
ㅣ,ㅣ
